Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Disclaimers (product.metafields.custom.disclaimers),ISBN (Media) (product.metafields.custom.med_isbn),SpecficationXX (product.metafields.custom.specficationxx),Vintage (product.metafields.custom.vintage),Art style (product.metafields.shopify.art-style),Book cover type (product.metafields.shopify.book-cover-type),Color (product.metafields.shopify.color-pattern),Compatible string instrument (product.metafields.shopify.compatible-string-instrument),Condition (product.metafields.shopify.condition),Dispenser type (product.metafields.shopify.dispenser-type),Fastener finish (product.metafields.shopify.fastener-finish),Genre (product.metafields.shopify.genre),Handle material (product.metafields.shopify.handle-material),Hardware material (product.metafields.shopify.hardware-material),Instrument accessory material (product.metafields.shopify.instrument-accessory-material),Instrument material (product.metafields.shopify.instrument-material),Item condition (product.metafields.shopify.item-condition),Manufacturer type (product.metafields.shopify.manufacturer-type),Material (product.metafields.shopify.material),Media access (product.metafields.shopify.media-access),Media theme (product.metafields.shopify.media-theme),Model train accessory type (product.metafields.shopify.model-train-accessory-type),Model train theme (product.metafields.shopify.model-train-theme),Molding application (product.metafields.shopify.molding-application),Music genre (product.metafields.shopify.music-genre),Nut form (product.metafields.shopify.nut-form),Style (product.metafields.shopify.style),Suitable for material type (product.metafields.shopify.suitable-for-material-type),Target audience (product.metafields.shopify.target-audience),Washer form (product.metafields.shopify.washer-form),Diameter of Arbor (product.metafields.specs.diameter_of_arbor),Diameter of Loop (product.metafields.specs.diameter_of_loop),Inner Connection Type (product.metafields.specs.inner_connection_type),Length (product.metafields.specs.length),Outer Connection Type (product.metafields.specs.outer_connection_type),Thickness (product.metafields.specs.thickness),Width (product.metafields.specs.width),Tools_Used (product.metafields.thephonographshop.tools_used),Applications (product.metafields.tps.applications),Components (product.metafields.tps.components),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
brunswick-model-no-10-id-tag,Brunswick Model No. 10 ID Tag,,The Phonograph Shop,Uncategorized,Tags,Original Parts,TRUE,Title,Default Title,,,,,,,,CAB-TAG-BRN-10-O,14.17476156,shopify,1,deny,manual,14.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0554/0236/4972/files/CAB-TAG-BRN-10-O_1.png?v=1755173568,1,,FALSE,,,,,,,,,,,,,,disclaimers-original,,,Certified Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,oz,,7.5,active
victor-victrola-2-reproducer-cap-nickel,Victor Victrola #2 Reproducer Cap,,The Phonograph Shop,Uncategorized,Reproducer Caps,Original Parts,TRUE,Color,nickel-gloss,product.metafields.shopify.color-pattern,,,,,,,REP-CAP-VIC-5409ANG-O,56.69904625,shopify,29,deny,manual,15.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0554/0236/4972/files/REP-CAP-VIC-5409ANG-O_1.png?v=1754781934,1,,FALSE,,,,,,,,,,,,,,disclaimers-original,,,Certified Original,,,nickel-gloss; gold-plated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0554/0236/4972/files/REP-CAP-VIC-5409ANG-O_1.png?v=1754781934,oz,,8,active
victor-victrola-2-reproducer-cap-nickel,,,,,,,,,gold-plated,,,,,,,,REP-CAP-VIC-5409AGP-O,56.69904625,shopify,1,deny,manual,15.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0554/0236/4972/files/REP-CAP-VIC-5409AGP-O_1_1e53e0b0-16d4-473c-a5f9-61e5505b115b.png?v=1754839140,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,oz,,8,
victor-vic-2-id-tag,Victor VIC-2 ID Tag,,The Phonograph Shop,Uncategorized,Tags,Original Parts,TRUE,Title,Default Title,,,,,,,,CAB-TAG-VIC-VIC2-O,14.17476156,shopify,1,deny,manual,34.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0554/0236/4972/files/CAB-TAG-VIC-VIC2-O_1_4fd8e5ee-f3c9-4ff1-bddc-e2978784817e.png?v=1755172844,1,,FALSE,,,,,,,,,,,,,,disclaimers-original,,,Certified Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,oz,,17.5,active
victor-instruction-plate-for-attaching-rigid-arm-assembly-remove-o,Victor Instruction Plate for Attaching Rigid Arm Assembly,,The Phonograph Shop,Uncategorized,Tags,Original Parts,TRUE,Title,Default Title,,,,,,,,CAB-TAG-VIC-REMOVE-O,14.17476156,shopify,1,deny,manual,79.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0554/0236/4972/files/CAB-TAG-VIC-REMOVE-O_1_f468f733-b2ed-45d2-829d-7a37b94d027e.png?v=1755173207,1,,FALSE,,,,,,,,,,,,,,disclaimers-original,,,Certified Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,oz,,40,active
victor-records-catalog-for-november-1917-2nd-edition-1917112-o,Victor Records Catalog for November 1917 [2nd Edition] (1917112-O),"<p><strong>Dimensions:</strong></p>
<ul>
<li>Length: ~8""</li>
<li>Width: ~5</li>
<li>Thickness: !1""</li>
<li>Condition: Average</li>
</ul>",The Phonograph Shop,Media > Books,Record Catalog,Original Parts,TRUE,Title,Default Title,,,,,,,,MED-REC-CAT-VIC-1917112PF-O,544.310844,shopify,1,deny,manual,7.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0554/0236/4972/files/MED-REC-CAT-VIC-1917112PF-O_1.jpg?v=1753918941,1,,FALSE,,,,,,,,,,,,,,,NA,,Certified Original,,,,,,,,music,,,,,,,,,,,,,,,,,adults,,,,,,,,,,,,,lb,,4,active
victor-records-catalog-for-november-1917-2nd-edition-1917112-o,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0554/0236/4972/files/MED-REC-CAT-VIC-1917112PF-O_2.jpg?v=1753918941,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wall-kane-needles-50-count-medium-nos-1001mmx-n,Wall-Kane Needles 50 Count - Medium NOS (1001MMX-N),"<p>These needle packages are considered collector's items and not sold as a source for playable needles. The packages state 50 needles but we have not opened or counted.</p>
<p>Length: ~1 3/16""<br>Width: ~1 1/16""<br>Height: ~3/8""<br>Needle Count: 50 Stated on Package<br>Tone: Medium</p>",The Phonograph Shop,Uncategorized,Needles,"NOS, Original Parts",TRUE,Title,Default Title,,,,,,,,ACC-NDL-WKN-1001MMX-N,28.34952313,shopify,11,deny,manual,3.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0554/0236/4972/files/ACC-NDL-WKN-1001MMX-N_1_b345c7a9-dd6d-4b6e-87a4-636d47086bf1.jpg?v=1753918025,1,,FALSE,,,,,,,,,,,,,,,,,New Old Stock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,oz,,2,active
wall-kane-needles-50-count-medium-nos-1001mmx-n,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0554/0236/4972/files/ACC-NDL-WKN-1001MMX-N_2_f13b5b96-4b80-4336-97cb-19956d8c3276.jpg?v=1753918025,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wall-kane-needles-50-count-medium-nos-1000mmx-n-copy,Wall-Kane Needles 50 Count - Loud NOS (1000LMX-N),"<p>These needle packages are considered collector's items and not sold as a source for playable needles. The packages state 50 needles but we have not opened or counted.</p>
<p>Length: ~1 3/16""<br>Width: ~1 1/16""<br>Height: ~3/8""<br>Needle Count: 50 Stated on Package<br>Tone: Loud</p>",The Phonograph Shop,Uncategorized,Needles,"NOS, Original Parts",TRUE,Title,Default Title,,,,,,,,ACC-NDL-WKN-1000LMX-N,28.34952313,shopify,1,deny,manual,3.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0554/0236/4972/files/ACC-NDL-WKN-1001LMX-N_1.jpg?v=1753916366,1,,FALSE,,,,,,,,,,,,,,,,,New Old Stock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,oz,,2,active
